(StykkeID, Skuespillers navn, Rolle)
--------------------------------------------------
('Kongsemnene', 'Arturo Scotti', 'Haakon Haakonssønn')
('Kongsemnene', 'Ingunn Beate Strige Øyen', 'Inga fra Vartejg (Haakons mor)')
('Kongsemnene', 'Hans Petter Nilsen', 'Skule jarl')
('Kongsemnene', 'Madeleine Brandtzæg Nilsen', 'Fru Ragnhild (Skules hustru)')
('Kongsemnene', 'Synnøve Fossum Eriksen', 'Margrete (Skules datter)')
('Kongsemnene', 'Emma Caroline Deichmann', 'Sigrid (Skules søster)')
('Kongsemnene', 'Emma Caroline Deichmann', 'Ingebjørg')
('Kongsemnene', 'Thomas Jensen Takyi', 'Biskop Nikolas')
('Kongsemnene', 'Per Bogstad Gulliksen', 'Gregorius Jonssønn')
('Kongsemnene', 'Isak Holmen Sørensen', 'Pål Flida')
('Kongsemnene', 'Isak Holmen Sørensen', 'Trønder')
('Kongsemnene', 'Fabian Heidelberg Lunde', 'Baard Bratte')
('Kongsemnene', 'Fabian Heidelberg Lunde', 'Trønder')
('Kongsemnene', 'Emil Olafsson', 'Jatgeir Skald')
('Kongsemnene', 'Emil Olafsson', 'Dagfinn Bonde')
('Kongsemnene', 'Snorre Ryen Tøndel', 'Peter (prest og Ingebjørgs sønn)')
('Størst av alt er kjærligheten', 'Sunniva Du Mond Nordal', 'Sunniva Du Mond Nordal')
('Størst av alt er kjærligheten', 'Jo Saberniak', 'Jo Saberniak')
('Størst av alt er kjærligheten', 'Marte M. Steinholt', 'Marte M. Steinholt')
('Størst av alt er kjærligheten', 'Tor Ivar Hagen', 'Tor Ivar Hagen')
('Størst av alt er kjærligheten', 'Trond-Ove Skrødal', 'Trond-Ove Skrødal')
('Størst av alt er kjærligheten', 'Natalie Grøndahl Tangen', 'Natalie Grøndahl Tangen')
('Størst av alt er kjærligheten', 'Åsmund Flaten', 'Åsmund Flaten')
